title,artist,path,bpm,energy
Snow On The Beach,Taylor Swift Â· Lana Del Rey,media/Snow On The Beach.mp3,112,0.21
Juice WRLD & Marshmello - Come & Go (Official Music Video),Unknown Artist,media/Juice WRLD & Marshmello - Come & Go (Official Music Video).mp3,144,0.26
Hey Sole Sister,Train,media/Train - Hey Sole Sister (Ryan Hunter KickNBass Bootleg).mp3,129,0.34
One More Round (Free Fire Booyah Day Theme Song),KSHMR Â· Jeremy Oceans,media/One More Round (Free Fire Booyah Day Theme Song).mp3,123,0.31
Ghost (Lost Kings Remix),Halsey,media/Ghost (Lost Kings Remix).mp3,103,0.27
I Will Let You Down (feat. KLARA),Madison Mars Â· KLARA,media/I Will Let You Down (feat. KLARA).mp3,129,0.4
MBNN & Rowald Steyn,ilomilo (Billie Eilish),media/MBNN & Rowald Steyn - ilomilo (Billie Eilish).mp3,117,0.26
Sweater Weather,Max Schneider Alyson Stoner  Max Schneider Alyson Stoner,media/Sweater Weather.mp3,123,0.18
Don't Say,The Chainsmokers Â· Emily Warren,media/Don't Say.mp3,99,0.26
Starboy (Acoustic),Simon Samaeng,media/Starboy (Acoustic).mp3,172,0.18
Shower,Becky G,media/Shower.mp3,117,0.23
Blame,Calvin Harris Â· John Newman,media/Blame.mp3,129,0.29
Monody (Bimonte Remix),Christian BÃ¼ttner,media/Monody (Bimonte Remix).mp3,129,0.32
Lost,Blake Rose Â· Joel Adams,media/Lost.mp3,129,0.31
Trouble (Sander Kleinenberg Remix),Halsey,media/Trouble (Sander Kleinenberg Remix).mp3,123,0.24
2 PhÃºt HÆ¡n (KAIZ Remix),PhÃ¡o,media/2 PhuÌt HoÌ›n (KAIZ Remix).mp3,129,0.34
Don't Let Me Down,Lucas & Steve,media/Don't Let Me Down.mp3,123,0.22
STUCK IN 2020 | A Year-End Megamix (Mashup of 100+ Songs) // by Adamusic,Unknown Artist,media/STUCK IN 2020  A Year-End Megamix (Mashup of 100+ Songs)  by Adamusic.mp3,152,0.23
Quarantine,Mat Best & Tim Montana,media/Quarantine.mp3,99,0.28
Don't Break the Heart,Tom Grennan,media/Don't Break the Heart.mp3,123,0.32
Closer,The Chainsmokers Â· Halsey,media/Closer.mp3,96,0.25
aerosmith,dream on,media/dream on - aerosmith (sped up).mp3,96,0.24
Graduation (Friends Forever),Colleen Fitzpatrick,media/Graduation (Friends Forever).mp3,161,0.2
They Speak (Ow),"Ã–wnboss, CEVITH",media/They Speak (Ow).mp3,123,0.29
Wing$,Andrew Joslyn,media/Wing$.mp3,144,0.17
Glowing Review,Joe Rubel,media/Glowing Review.mp3,117,0.23
Don't,Ed Sheeran,media/Don't.mp3,96,0.28
We Were Here,Lights,media/We Were Here.mp3,144,0.29
Another Life (feat. Alida) (twocolors Remix),Lucas & Steve Â· Alida,media/Another Life (feat. Alida) (twocolors Remix).mp3,123,0.27
First Time,Henrik Meinke,media/First Time.mp3,89,0.21
Save Myself,Ashe,media/Save Myself.mp3,74,0.16
I'm Not A Saint,Billy Raffoul,media/I'm Not A Saint.mp3,129,0.27
Seesaw,Ummet Ozcan,media/Seesaw.mp3,144,0.29
7 Years,Lukas Graham,media/7 Years.mp3,117,0.24
fools (can't help falling in love),Foster Â· Sody Â· Sarcastic Sounds,media/fools (can't help falling in love).mp3,161,0.22
Temporary,Hanna Trager,media/Temporary.mp3,123,0.26
Champions,"Kurt Hugo Schneider, Andie Case",media/Champions.mp3,152,0.24
Good Enough,Daniel Nigro,media/Good Enough.mp3,74,0.22
Like My Father,Jax,media/Like My Father.mp3,136,0.2
Love Is Gone (TiÃ«sto Remix),Slander Â· TiÃ«sto Â· Dylan Matthew,media/Love Is Gone (TieÌˆsto Remix).mp3,129,0.31
Freezing,Mimi Webb,media/Freezing.mp3,78,0.27
Bad Girls,M.I.A.,media/Bad Girls.mp3,144,0.31
Freeze,Kygo,media/Freeze.mp3,112,0.2
Cinderella Snapped,Jax,media/Cinderella Snapped.mp3,144,0.28
Good Things Fall Apart vs. Sad Songs,ILLENIUM Â· Jon Bellion Â· Said The Sky Â· Annika Wells,media/Good Things Fall Apart vs. Sad Songs.mp3,144,0.27
Sexy And I Know It,LMFAO,media/Sexy And I Know It.mp3,129,0.35
Good Things Fall Apart,ILLENIUM Â· Jon Bellion,media/Good Things Fall Apart.mp3,144,0.28
See The Way,The Chainsmokers Â· Sabrina Claudio,media/See The Way.mp3,96,0.25
Another Life (feat. Alida),Lucas & Steve Â· Alida,media/Another Life (feat. Alida).mp3,123,0.25
death bed (coffee for your head),Powfu Â· beabadoobee,media/death bed (coffee for your head).mp3,144,0.18
Whispering Still (Little Rose Remix),Chloe Lewer,media/Whispering Still (Little Rose Remix).mp3,117,0.28
White Room (feat. Julia Ross),Ayon Â· Julia Ross,media/White Room (feat. Julia Ross).mp3,144,0.29
Clouds,Paper Idol,media/Clouds.mp3,92,0.3
Toothbrush,DNCE,media/Toothbrush.mp3,103,0.24
Rave Love (Extended Mix),Willem van Hanegem,media/Rave Love (Extended Mix).mp3,161,0.29
abc (The Wild Remix),The Wild,media/abc (The Wild Remix).mp3,123,0.3
Live Forever,Stafford Brothers Â· Lexy Panterra Â· Lil Yachty,media/Live Forever.mp3,99,0.28
FUN FUN FUN (Lyrics)ğŸµ - Dimitrix feat. Raquel Castro,Unknown Artist,media/FUN FUN FUN (Lyrics)ğŸµ - Dimitrix feat. Raquel Castro.mp3,129,0.26
Control,Zoe Wees,media/Control.mp3,112,0.35
Oxygen,Winona Oak Â· Robin Schulz,media/Oxygen.mp3,117,0.29
House of Memories,Panic! At The Disco,media/House of Memories.mp3,108,0.28
Matter To You,Sasha Alex Sloan,media/Matter To You.mp3,99,0.26
not my job anymore,Madi Yanofsky,media/not my job anymore.mp3,144,0.26
Me + You,Sabai Â· Rave New World,media/Me + You.mp3,152,0.25
Please Don't Go,Joel Adams,media/Joel Adams - Please Don't Go (Tschax Remix).mp3,99,0.24
Bitter,FLETCHER Â· Kito,media/Bitter.mp3,136,0.3
Habit,Laurell Â· Anderz Wrethov Â· Andreas Stone Johansson Â· Laurell Barker Â· Thomas Stengaard Â· Anderz Wrethov Â· Andreas Stone Johansson Â· Laurell Barker Â· Thomas Stengaard Â· Anderz Wrethov Â· Andreas Stone Johansson Â· Thomas Stengaard,media/Habit.mp3,99,0.26
People I Don't Like,Taylor Upsahl,media/People I Don't Like.mp3,89,0.31
Paper Planes,M.I.A.,media/Paper Planes.mp3,172,0.22
tomorrow tonight,Loote,media/tomorrow tonight.mp3,92,0.26
drinking games,Silver Sphere,media/drinking games.mp3,92,0.28
Heart Made of Stone,The Tech Thieves,media/Heart Made of Stone.mp3,96,0.25
Wendy,Brad Ellis,media/Wendy.mp3,103,0.33
Chlorine,twenty one pilots,media/Chlorine.mp3,89,0.24
Anti-Hero,Taylor Swift,media/Anti-Hero.mp3,96,0.26
Memories (feat. Sirah) (Radio Edit),KSHMR Â· Bassjackers Â· Sirah,media/Memories (feat. Sirah) (Radio Edit).mp3,129,0.27
"Relax, Take It Easy",MIKA,"media/Relax, Take It Easy.mp3",123,0.22
I Am Steve,Hey Steve,media/I Am Steve.mp3,152,0.25
Aurora,K-391 Â· RÃ˜RY Â· Kristoffer Haugan Â· Edvard Normann Â· Sander Meland Â· Kristin Marie Â· Hannah Storm Â· Kristian Moen Vik Â· Lily Williams,media/Aurora.mp3,144,0.27
Drvgs (feat. Hayley Gene),DVBBS Â· Hayley Gene,media/Drvgs (feat. Hayley Gene).mp3,129,0.3
Until You Were Gone (Reez Remix),Andrew Taggart,media/Until You Were Gone (Reez Remix).mp3,129,0.22
If You Could See Me Now,The Script,media/If You Could See Me Now.mp3,99,0.26
C'est la vie,Cameron Boyer,media/C'est la vie.mp3,92,0.3
Own the World,KYANU,media/Own the World.mp3,136,0.33
No Promises (feat. Demi Lovato),Cheat Codes Â· Demi Lovato,media/No Promises (feat. Demi Lovato).mp3,112,0.26
Vanic x Zella Day,Hypnotic,media/Vanic x Zella Day - Hypnotic.mp3,161,0.3
Lights,Ellie Goulding,media/Ellie Goulding - Lights (Nitti Gritti Remix).mp3,152,0.3
Drew Barrymore,Bryce Vine,media/Drew Barrymore.mp3,152,0.32
Liability,Lorde,media/Liability.mp3,129,0.17
Bring Me Back,Miles Away Â· Claire Ridgely,media/Bring Me Back.mp3,144,0.27
Flashlight,R3hab Â· Deorro,media/Flashlight.mp3,129,0.31
Umbrella,Hard Lights Â· Moonshine Â· Marnik Â· Ember Island,media/Umbrella.mp3,99,0.34
Butterfly,Marnik Â· Hard Lights,media/Butterfly.mp3,136,0.29
Rude (Zedd Remix),MAGIC!,media/Rude (Zedd Remix).mp3,129,0.33
Someday,OneRepublic,media/Someday.mp3,123,0.25
Me And My Broken Heart,Rixton,media/Me And My Broken Heart.mp3,172,0.28
Sing It With Me,JP Cooper Â· Astrid S,media/Sing It With Me.mp3,152,0.3
LA On A Saturday Night (Hazers Remix),Hearts & Colors,media/LA On A Saturday Night (Hazers Remix).mp3,83,0.26
Strip That Down,Liam Payne Â· Quavo,media/Strip That Down.mp3,108,0.31
Setting Fires (Blasterjaxx Remix),The Chainsmokers Â· XYLÃ˜,media/Setting Fires (Blasterjaxx Remix).mp3,129,0.29
Never Worn White,Katy Perry,media/Never Worn White.mp3,136,0.18
"Devil (feat. Busta Rhymes, B.o.B & Neon Hitch)",Cash Cash Â· Busta Rhymes Â· B.o.B Â· Neon Hitch,"media/Devil (feat. Busta Rhymes, B.o.B & Neon Hitch).mp3",144,0.38
Do Bad Well (feat. Nevve),KSHMR Â· Nevve,media/Do Bad Well (feat. Nevve).mp3,129,0.28
Panic Room,Au/Ra,media/Panic Room.mp3,99,0.21
Better Than This,Mike Perry Â· David Rasmussen,media/Better Than This.mp3,117,0.25
eighteen,Henry Moodie,media/eighteen.mp3,144,0.25
All For You,The Waked Â· Hanna LÃ¶wenborg,media/All For You.mp3,112,0.26
I'm Gonna Show You Crazy,Bebe Rexha,media/I'm Gonna Show You Crazy.mp3,89,0.25
é›ªä¸‹äº†ä¸€å¤œ,è«å¾—æ¡‘ Â· #0000FF Â· æ— é¢å°ç”Ÿ Â· è«å¾—æ¡‘ Â· #0000FF Â· æ— é¢å°ç”Ÿ Â· è«å¾—æ¡‘ Â· #0000FF Â· æ— é¢å°ç”Ÿ,media/é›ªä¸‹äº†ä¸€å¤œ.mp3,83,0.18
All That Glitters,Kate Earl,media/All That Glitters.mp3,96,0.26
Shameless (feat. Stef Classens),Nils van Zandt Â· Stef Classens,media/Shameless (feat. Stef Classens).mp3,129,0.31
Love Again (feat. Alida),Alok Â· Alida,media/Love Again (feat. Alida).mp3,129,0.32
she's all yours,Loote,media/she's all yours.mp3,161,0.29
Ğ’Ñ‚ÑÑ€Ğ¸Ğ»Ğ°ÑÑŒ,Ğ”Ğ¾Ñ€Ğ° Â· Ğ˜Ğ³Ğ¾Ñ€ÑŒ Ğ’Ğ»Ğ°ÑĞ¾Ğ² Â· Ğ”Ğ°Ñ€ÑŒÑ Ğ¨Ğ¸Ñ…Ğ°Ğ½Ğ¾Ğ²Ğ°,media/Ğ’Ñ‚ÑÑ€Ğ¸Ğ»Ğ°ÑÑŒ.mp3,152,0.19
Blow Your Mind (Mwah),Dua Lipa,media/Blow Your Mind (Mwah).mp3,108,0.34
Câ€™est La Vie,Yung Gravy Â· bbno$ Â· Rich Brian,media/Câ€™est La Vie.mp3,144,0.31
Friendzone,G.O.A.T,media/Friendzone.mp3,123,0.21
Freak (feat. REI AMI),Sub Urban Â· REI AMI,media/Freak (feat. REI AMI).mp3,89,0.17
I Took A Pill In Ibiza (Seeb Remix),Mike Posner,media/I Took A Pill In Ibiza (Seeb Remix).mp3,103,0.23
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis Â· Macklemore Â· Ryan Lewis Â· Melle Mel Â· Grandmaster Caz Â· Kool Moe Dee Â· Eric Nally,"media/Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally).mp3",112,0.29
Married to the Bag,Shotgun Willy,media/Married to the Bag.mp3,123,0.29
Therapy,Anne-Marie Nicholson,media/Therapy.mp3,129,0.34
Pretty Little Mind,Gabi DeMartino,media/Pretty Little Mind.mp3,112,0.4
EGO,Gia Woods,media/EGO.mp3,161,0.28
Million Days,Sabai Â· Hoang Â· Claire Ridgely,media/Million Days.mp3,144,0.3
People You Know,Selena Gomez,media/People You Know.mp3,152,0.27
When We Were Still Young,Klaas Gerling,media/When We Were Still Young.mp3,123,0.28
Love Of Your Life,RAYE,media/Love Of Your Life.mp3,112,0.3
Bodytalk (STFU),Blasterjaxx Â· Raven & Kreyn,media/Bodytalk (STFU).mp3,144,0.25
Tear Me Down,Davai Â· Philip Rustad,media/Tear Me Down.mp3,99,0.26
because i liked a boy,Sabrina Carpenter,media/because i liked a boy.mp3,152,0.26
The Best Days (feat. Tabitha),Sam Feldt Â· Karma Child Â· Tabitha,media/The Best Days (feat. Tabitha).mp3,108,0.23
Lasting Lover (TiÃ«sto Remix),Sigala Â· James Arthur Â· TiÃ«sto,media/Lasting Lover (TieÌˆsto Remix).mp3,123,0.28
Rockstar,BoyWithUke,media/Rockstar.mp3,117,0.29
The Story Of Us (Taylor's Version),Taylor Swift,media/The Story Of Us (Taylor's Version).mp3,144,0.32
Demons,Imagine Dragons,media/Demons.mp3,89,0.33
Mean It,Gracie Abrams,media/Mean It.mp3,136,0.18
Me agobia (con Lean),William Jay Behlendorf,media/Me agobia (con Lean).mp3,172,0.3
Long Live,Taylor Swift,media/Long Live.mp3,103,0.26
Young And Beautiful (DH Orchestral Version),Lana Del Rey,media/Young And Beautiful (DH Orchestral Version).mp3,112,0.22
Not Fair,HBz,media/HBz - Not Fair (Bounce Mix).mp3,136,0.29
Cowboys Donâ€™t Cry,Oliver Tree,media/Cowboys Donâ€™t Cry.mp3,89,0.19
Still Beat,Mome Boys,media/Still Beat.mp3,103,0.27
Faded Love,Leony,media/Faded Love.mp3,129,0.34
Lordly (feat. Alex Aiono) (MDZN Remix),Feder Â· Alex Aiono,media/Lordly (feat. Alex Aiono) (MDZN Remix).mp3,123,0.3
u,Jax Jones Â· Au/Ra,media/i miss u.mp3,123,0.23
Boyfriend Of The Year,Bellah Mae,media/Boyfriend Of The Year.mp3,81,0.23
Dolly Song (Devil's Cup),VIZE Â· Leony,media/Dolly Song (Devil's Cup).mp3,117,0.26
By Your Side,Jonas Blue Â· RAYE,media/By Your Side.mp3,123,0.28
Psycho,Ed Sheeran,media/Psycho.mp3,117,0.31
KSHMR Live DJ Set - Free Fire Booyah Day Theme Song Celebration,Unknown Artist,media/KSHMR Live DJ Set - Free Fire Booyah Day Theme Song Celebration.mp3,129,0.15
Boss Bitch,Amala Zandile Dlamini,media/Boss Bitch.mp3,129,0.26
Good Vibes Tan Lines,Thomas Frinking Â· Rochelle Diamante Â· Thomas Frinking Â· Tiffany Diamante Â· Thomas Frinking Â· Tiffany Diamante,media/Good Vibes Tan Lines.mp3,89,0.28
A$AP Ferg ft. Nicki Minaj - Plain Jane (KEAN DYSSO Remix) (Bass Boosted),Unknown Artist,media/A$AP Ferg ft. Nicki Minaj - Plain Jane (KEAN DYSSO Remix) (Bass Boosted).mp3,96,0.34
Reckless,Madison Beer,media/Reckless.mp3,89,0.21
Spinnin,Connor Price Â· Bens,media/Spinnin.mp3,144,0.25
è¿™è¾ˆå­æ¬ è‡ªå·±å¤ªå¤š,æå‘å‘ Â· ç‚¹ç‚¹ Â· ç™½æ™—,media/è¿™è¾ˆå­æ¬ è‡ªå·±å¤ªå¤š.mp3,99,0.23
My Way,Harris & Ford Â· Mike Candys,media/My Way.mp3,152,0.29
Understand,BoyWithUke,media/Understand.mp3,103,0.24
"You Need Me, I Don't Need You",Ed Sheeran,"media/You Need Me, I Don't Need You.mp3",103,0.19
HAPPY,NF,media/HAPPY.mp3,108,0.28
watch,Billie Eilish,media/watch.mp3,83,0.29
Wait Another Day,Mike Williams Â· Mesto,media/Wait Another Day.mp3,123,0.27
Take You Down,ILLENIUM,media/Take You Down.mp3,86,0.31
Crush,Jerome Â· Eric Chase Â· Michelle Hord,media/Crush.mp3,123,0.3
Left & Right,Malou Prytz,media/Left & Right.mp3,92,0.26
Bullet,Saint Motel,media/Bullet.mp3,99,0.26
Dark Horse,Katy Perry Â· Juicy J,media/Dark Horse.mp3,129,0.31
Jungle (feat. Soup & TheDooo),Mome Boys Â· Soup Â· TheDooo,media/Jungle (feat. Soup & TheDooo).mp3,129,0.29
White Walls (feat. ScHoolboy Q & Hollis),"Macklemore, Ryan Lewis",media/White Walls (feat. ScHoolboy Q & Hollis).mp3,117,0.27
Hard 2 Face Reality,Poo Bear Â· Justin Bieber Â· Jay Electronica,media/Hard 2 Face Reality.mp3,144,0.29
Freedom,Kygo Â· Zak Abel,media/Freedom.mp3,112,0.22
Bananza,Akon,media/Akon - Bananza (Belly Dancer) [Divolly & Markward Remix].mp3,123,0.32
golden hour,JVKE Â· Jake Lawson Â· Zac Lawson,media/golden hour.mp3,96,0.29
I Can See You,Taylor Swift,media/Taylor Swift - I Can See You (Taylorâ€™s Version) (From The Vault) (Official Video).mp3,123,0.13
Broken Glass,Kygo Â· Kim Petras,media/Broken Glass.mp3,112,0.23
she's all i wanna be,Tate McRae,media/she's all i wanna be.mp3,161,0.29
Fashion Killa (Papapapa),Mason Â· Stefflon Don,media/Fashion Killa (Papapapa).mp3,123,0.29
Youâ€™re Not Sorry (Taylorâ€™s Version),Taylor Swift,media/Youâ€™re Not Sorry (Taylorâ€™s Version).mp3,136,0.23
The Spook,KSHMR Â· BassKillers Â· B3nte,media/The Spook.mp3,129,0.33
Lost The Breakup,Maisie Peters,media/Lost The Breakup.mp3,144,0.31
Thunder,Gabry Ponte Â· LUM!X Â· Prezioso,media/Thunder.mp3,136,0.31
Runaway,R3HAB Â· Sigala Â· JP Cooper Â· Bruce Fielder Â· Joakim Sebastian Hasselquist Jarl Â· Dominic Joshua Alexander Liu Â· Sean Michael Mcdonagh Â· Nicole Mary Blair Â· John Paul Cooper Â· Fadil El Ghoul,media/Runaway.mp3,123,0.25
illicit affairs,Taylor Swift,media/illicit affairs.mp3,117,0.17
"Tag, You're It",Melanie Martinez,"media/Tag, You're It.mp3",117,0.27
Wait For You (feat. Maia Wright),Mike Williams Â· Maia Wright,media/Wait For You (feat. Maia Wright).mp3,112,0.3
are you sure?,Loote,media/are you sure.mp3,108,0.29
Maniac,Conan Gray,media/Maniac.mp3,108,0.3
Outside,Calvin Harris Â· Ellie Goulding,media/Outside.mp3,129,0.28
Sixteen,Ellie Goulding,media/Sixteen.mp3,108,0.25
Instagram,Dimitri Thivaios,media/Instagram.mp3,129,0.33
Worst Day,ILLENIUM Â· MAX,media/Worst Day.mp3,152,0.35
Stereo Hearts (feat. Adam Levine),Gym Class Heroes Â· Adam Levine,media/Stereo Hearts (feat. Adam Levine).mp3,89,0.28
Fight Fire With Fire,Ran-D Â· LePrince,media/Fight Fire With Fire.mp3,152,0.35
Weâ€™re The Sameâ€¬â€¬ (Jake & Kellini Remix),Vigiland Â· Alexander Tidebrink,media/Weâ€™re The Sameâ€¬â€¬ (Jake & Kellini Remix).mp3,123,0.27
This Is The Life,Amy Macdonald,media/This Is The Life.mp3,129,0.24
Hurricane,Ran-D,media/Hurricane.mp3,152,0.4
Hard Part's Over,Hoang Â· Page,media/Hard Part's Over.mp3,152,0.32
Viva La Vida,Coldplay,media/Viva La Vida.mp3,136,0.21
Thin Line (feat. Buffalo Madonna),"Macklemore, Ryan Lewis",media/Thin Line (feat. Buffalo Madonna).mp3,103,0.24
Start Again,Connor Price Â· Chloe Sagum,media/Start Again.mp3,117,0.2
Candlelight,LIZOT,media/Candlelight.mp3,144,0.26
Gasoline,Halsey,media/Gasoline.mp3,117,0.22
Get Ready Now (Extended Mix),VINAI,media/Get Ready Now (Extended Mix).mp3,129,0.35
Question... ?,Taylor Swift,media/Question.mp3,108,0.28
Hearts on Fire (Timmy Trumpet Remix),ILLENIUM Â· Dabin Â· Lights,media/Hearts on Fire (Timmy Trumpet Remix).mp3,129,0.29
Commander In Chief,Demi Lovato,media/Commander In Chief.mp3,152,0.22
Not Another Rockstar,Ines Dunn,media/Not Another Rockstar.mp3,92,0.38
Ghost Town,Paul Catalano,media/Ghost Town.mp3,129,0.28
Far Away From Home (feat. Leony),Sam Feldt Â· VIZE Â· Leony,media/Far Away From Home (feat. Leony).mp3,99,0.25
Wait Another Day,Mike Williams Â· Mesto,media/Wait Another Day (1).mp3,123,0.27
Ill Mind of Hopsin 8,Hopsin,media/Ill Mind of Hopsin 8.mp3,129,0.21
I Knew You Were Trouble (Taylor's Version),Taylor Swift,media/I Knew You Were Trouble (Taylor's Version).mp3,152,0.22
Unbelievable,Why Don't We,media/Unbelievable.mp3,129,0.27
Drink About (MOTi Remix),Seeb Â· Dagny Â· MOTi,media/Drink About (MOTi Remix).mp3,123,0.32
Closure,Hayd,media/Closure.mp3,123,0.15
Tokyo Nights,Digital Farm Animals Â· Shaun Frank Â· Dragonette,media/Tokyo Nights.mp3,103,0.27
Jupiter,Jerome,media/Jupiter.mp3,136,0.34
Lean On (feat. MÃ˜ & DJ Snake),Major Lazer Â· MÃ˜ Â· DJ Snake,media/Lean On (feat. MÃ˜ & DJ Snake).mp3,99,0.26
Therefore I Am,Billie Eilish,media/Therefore I Am.mp3,96,0.29
Secrets (Radio Edit),TiÃ«sto Â· KSHMR Â· VASSY,media/Secrets (Radio Edit).mp3,129,0.33
WTF (feat. Amber Van Day),HUGEL Â· Amber Van Day,media/WTF (feat. Amber Van Day).mp3,123,0.3
Strangers,Kenya Grace,media/Strangers.mp3,86,0.21
New York City (Dash Berlin Remix),The Chainsmokers,media/New York City (Dash Berlin Remix).mp3,129,0.33
What's Up?,LIZOT Â· waybackwhen,media/What's Up.mp3,129,0.32
Come Over (Acoustic Mixtape),Sam Hunt,media/Come Over (Acoustic Mixtape).mp3,112,0.19
No Type,Rae Sremmurd,media/No Type.mp3,123,0.29
Castle,Halsey,media/Castle.mp3,129,0.25
Nights Like That,BUNT. Â· Georgia Ku,media/Nights Like That.mp3,112,0.29
Never Dated You,Jack Laboz,media/Never Dated You.mp3,152,0.21
All You Need To Know,Gryffin Â· SLANDER Â· Calle Lehmann,media/All You Need To Know.mp3,144,0.24
Runaways (feat. Teemu),Sam Feldt Â· Deepend Â· Teemu,media/Runaways (feat. Teemu).mp3,117,0.33
Ghost Assassin (Original Mix),Maduk Â· Veela,media/Ghost Assassin (Original Mix).mp3,117,0.26
The One That Got Away,Katy Perry,media/The One That Got Away.mp3,136,0.28
Addicted To A Memory,Zedd Â· Bahari,media/Addicted To A Memory.mp3,129,0.29
Every Breath You Take (Acoustic),Jada Facer,media/Every Breath You Take (Acoustic).mp3,108,0.17
Selfish (Alan Walker Remix),Madison Beer Â· Alan Walker,media/Selfish (Alan Walker Remix).mp3,161,0.22
The Hum,Briz DJ,media/The Hum.mp3,129,0.21
#SELFIE,The Chainsmokers,media/#SELFIE.mp3,129,0.32
2 Die 4,Tove Lo,media/2 Die 4.mp3,117,0.27
STYLE â™¦ Sweater Weather,HARD,media/HARD-STYLE â™¦ Sweater Weather (Jomarijan  Remix).mp3,152,0.23
Die For You (Dabin Remix),Nicholas Chiari,media/Die For You (Dabin Remix).mp3,136,0.34
Fired My Therapist,Jeoff Harris,media/Fired My Therapist.mp3,92,0.15
i can't get high,Royal & the Serpent,media/i can't get high.mp3,92,0.22
GTA Online: The Cayo Perico Heist (Ending Finale Song) [Icky Blossoms - Cycle],Unknown Artist,media/GTA Online The Cayo Perico Heist (Ending Finale Song) [Icky Blossoms - Cycle].mp3,99,0.25
Super Bass,Nicki Minaj,media/Super Bass.mp3,129,0.27
Final Song,MÃ˜,media/Final Song.mp3,103,0.25
Tuesday (feat. Danelle Sandoval),Sheran Makonnen,media/Tuesday (feat. Danelle Sandoval).mp3,99,0.31
Therefore I Am,Billie Eilish,media/Billie Eilish - Therefore I Am (UNDREAM Remix).mp3,96,0.28
Addict,NEFFEX,media/Addict.mp3,152,0.32
